2022-12-26T13:50:52.725+0200	debug	stress/stress.go:97	starting container stress_dns_0_4
2022-12-26T13:50:52.725+0200	debug	stress/stress.go:97	starting container stress_dns_0_0
2022-12-26T13:50:52.725+0200	debug	stress/stress.go:97	starting container stress_dns_0_2
2022-12-26T13:50:52.725+0200	debug	stress/stress.go:97	starting container stress_dns_0_1
2022-12-26T13:50:52.725+0200	debug	stress/stress.go:97	starting container stress_dns_0_3
2022-12-26T13:52:03.989+0200	debug	stress/stress.go:163	Running cleanup
2022-12-26T13:57:34.846+0200	info	stress/stress.go:34	TestID: Alona_Puma7_f55edc3c-22f8-4f46-88f8-318269811f8f
2022-12-26T13:57:34.847+0200	debug	stress/stress.go:49	setting up DHCP Server
2022-12-26T13:57:34.847+0200	debug	stress/stress.go:39	Setting up Router Slave
2022-12-26T13:57:34.847+0200	debug	stress/stress.go:44	Setting up Docker Client and Network
